,02 성별,06_나이_반올림,001_오른쪽어깨경사각,002_왼쪽어깨경사각,003_키,005_목뒤높이,017_샅높이,031_몸무게,037_목둘레,038_목밑둘레,039_가슴둘레,040_젖가슴둘레,042_허리둘레,043_배꼽수준허리둘레,044_배둘레,045_엉덩이둘레,052_총길이,054_어깨사이길이,055_어깨가쪽사이길이,063_위팔길이,064_팔길이,065_팔안쪽길이,069_다리가쪽길이,111_머리둘레,121_넙다리둘레,122_넙다리중간둘레,123_무릎둘레,125_장딴지둘레,130_위팔둘레,131_팔꿈치둘레
3404,남,38,14.0,14.0,"1,736","1,495",777.0,63.5,357.0,424.0,947,890,732,742,741,940,"1,500",435.0,427.0,340.0,593.0,502.0,"1,013",557.0,528.0,469.0,355.0,369.0,301.0,296.0
3405,남,39,10.0,10.0,"1,714","1,467",798.0,63.2,355.0,416.0,922,905,807,826,830,910,"1,480",423.0,405.0,358.0,620.0,505.0,"1,049",554.0,527.0,465.0,372.0,359.0,300.0,262.0
3406,남,38,15.0,12.0,"1,728","1,485",763.0,79.2,380.0,430.0,"1,000",955,886,905,906,971,"1,509",455.0,445.0,328.0,570.0,483.0,"1,046",556.0,592.0,554.0,396.0,429.0,325.0,295.0
3407,남,36,19.0,23.0,"1,672","1,449",762.0,76.2,373.0,445.0,"1,022",975,891,920,916,997,"1,482",469.0,450.0,364.0,615.0,508.0,"1,013",548.0,620.0,550.0,385.0,388.0,330.0,282.0
3408,남,38,20.0,24.0,"1,732","1,483",777.0,78.7,397.0,418.0,"1,021",990,872,875,872,984,"1,507",463.0,452.0,340.0,597.0,504.0,"1,023",578.0,603.0,548.0,383.0,386.0,370.0,335.0
3409,남,38,14.0,17.0,"1,633","1,396",747.0,62.5,374.0,427.0,930,905,795,830,832,903,"1,406",412.0,390.0,316.0,555.0,468.0,987,570.0,543.0,496.0,346.0,359.0,303.0,258.0
3410,남,38,15.0,14.0,"1,682","1,451",757.0,71.5,355.0,412.0,963,940,853,900,905,"1,001","1,469",403.0,396.0,325.0,557.0,463.0,"1,030",567.0,609.0,528.0,379.0,389.0,290.0,265.0
3411,남,38,21.0,17.0,"1,729","1,498",780.0,81.6,390.0,473.0,"1,047","1,018",920,932,930,"1,003","1,514",478.0,471.0,350.0,600.0,502.0,"1,060",544.0,591.0,515.0,381.0,385.0,308.0,286.0
3412,남,38,15.0,16.0,"1,695","1,450",741.0,76.6,370.0,438.0,990,999,890,915,920,962,"1,468",425.0,408.0,330.0,577.0,478.0,"1,008",553.0,603.0,508.0,368.0,414.0,315.0,285.0
3413,남,36,9.0,12.0,"1,687","1,445",781.0,62.6,345.0,400.0,907,870,786,817,814,925,"1,461",410.0,393.0,340.0,600.0,501.0,"1,040",553.0,519.0,468.0,370.0,338.0,293.0,272.0
3414,남,38,20.0,17.0,"1,665","1,425",721.0,58.1,357.0,414.0,927,850,760,775,780,891,"1,450",434.0,427.0,330.0,564.0,483.0,977,543.0,513.0,445.0,339.0,334.0,253.0,261.0
3415,남,35,11.0,16.0,"1,774","1,528",803.0,88.0,433.0,476.0,"1,016",990,927,971,975,"1,035","1,550",420.0,430.0,355.0,622.0,505.0,"1,107",573.0,610.0,549.0,424.0,424.0,327.0,325.0
3416,남,37,25.0,25.0,"1,675","1,425",747.0,74.8,397.0,465.0,957,930,885,901,902,"1,007","1,446",443.0,445.0,338.0,586.0,475.0,"1,008",581.0,599.0,539.0,387.0,389.0,323.0,278.0
3417,남,37,19.0,20.0,"1,702","1,476",794.0,71.9,368.0,434.0,930,912,832,880,883,955,"1,490",432.0,425.0,352.0,613.0,525.0,"1,046",567.0,585.0,524.0,387.0,399.0,298.0,288.0
3418,남,34,18.0,18.0,"1,785","1,540",820.0,70.9,384.0,448.0,973,940,766,802,805,955,"1,570",465.0,463.0,365.0,632.0,532.0,"1,085",570.0,539.0,495.0,377.0,363.0,313.0,288.0
3419,남,36,21.0,20.0,"1,709","1,470",777.0,69.7,362.0,430.0,950,909,845,854,858,942,"1,480",449.0,430.0,353.0,600.0,494.0,"1,032",550.0,568.0,498.0,367.0,363.0,317.0,288.0
3420,남,39,23.0,20.0,"1,780","1,537",840.0,77.8,400.0,452.0,998,"1,000",910,907,917,947,"1,564",430.0,425.0,363.0,626.0,533.0,"1,098",558.0,578.0,513.0,361.0,358.0,315.0,288.0
