0u, 0:0
0u, 0:10
0u, 0:20
0u, 10:40
0u, 20:10
0u, 34:10
0u, 35:50
0u, 36:20
0u, 42:30
1u, 8:20
1u, 11:50
1u, 16:0
1u, 20:20
1u, 23:30
1u, 38:50
1u, 39:20
1u, 41:0
1u, 44:20
1u, 44:40
1u, 45:0
1u, 47:30
1u, 48:0
1u, 53:30
1u, 55:50
1u, 56:40
1u, 57:0
1u, 57:10
1u, 62:40
1u, 62:50
1u, 63:0
1u, 63:10
1u, 63:20
1u, 63:30
1u, 63:40
1u, 63:50
1u, 64:0
1u, 64:10
1u, 64:20
1u, 64:30
1u, 64:40
1u, 64:50
1u, 65:0
1u, 65:10
1u, 65:20
1u, 65:30
1u, 65:40
1u, 65:50
1u, 66:0
1u, 66:10
1u, 66:20
1u, 66:30
1u, 66:40
1u, 66:50
1u, 67:0
1u, 67:10
1u, 67:20
1u, 67:30
1u, 67:40
1u, 67:50
1u, 68:0
1u, 68:10
1u, 68:20
1u, 68:30
1u, 68:40
1u, 68:50
1u, 69:0
1u, 69:10
1u, 69:20
1u, 69:30
1u, 69:40
1u, 69:50
1u, 70:0
1u, 70:10
1u, 70:20
1u, 70:30
1u, 70:40
1u, 70:50
1u, 71:0
1u, 71:10
1u, 71:20
1u, 71:30
1u, 71:40
1u, 71:50
1u, 72:0
1u, 72:10
1u, 72:20
1u, 72:30
1u, 72:40
2u, 0:0
2u, 0:50
2u, 5:10
2u, 8:10
2u, 9:0
2u, 11:30
2u, 11:40
2u, 15:10
2u, 19:40
2u, 21:30
2u, 21:50
2u, 22:10
2u, 23:20
2u, 24:30
2u, 25:10
2u, 26:10
2u, 26:30
2u, 27:50
2u, 28:0
2u, 32:10
2u, 32:40
3u, 15:20
3u, 16:50
3u, 17:30
3u, 19:40
3u, 20:20
3u, 21:0
3u, 22:20
3u, 24:30
3u, 25:50
3u, 27:30
3u, 28:50
3u, 29:30
3u, 31:20
4u, 0:10
4u, 41:30
4u, 42:0
4u, 58:40
4u, 58:50
4u, 59:0
4u, 59:10
4u, 59:20
4u, 59:30
4u, 59:40
4u, 59:50
4u, 60:0
4u, 60:10
4u, 60:20
4u, 60:30
4u, 60:40
4u, 60:50
4u, 61:0
4u, 61:10
4u, 61:20
4u, 61:30
4u, 61:40
4u, 61:50
4u, 62:0
4u, 62:10
4u, 62:20
4u, 62:30
4u, 62:40
4u, 62:50
4u, 63:0
4u, 63:10
4u, 63:20
4u, 63:30
4u, 63:40
4u, 63:50
4u, 64:0
4u, 64:10
4u, 64:20
4u, 64:30
4u, 64:40
4u, 64:50
4u, 65:0
4u, 65:10
4u, 65:20
4u, 65:30
4u, 65:40
4u, 65:50
4u, 66:0
4u, 66:10
4u, 66:20
4u, 66:30
4u, 66:40
4u, 66:50
4u, 67:0
4u, 67:10
4u, 67:20
4u, 67:30
4u, 67:40
4u, 67:50
4u, 68:0
4u, 68:10
4u, 68:20
4u, 68:30
4u, 68:40
4u, 68:50
4u, 69:0
4u, 69:10
4u, 69:20
4u, 69:30
4u, 69:40
4u, 69:50
4u, 70:0
4u, 70:10
4u, 70:20
4u, 70:30
4u, 70:40
4u, 70:50
4u, 71:0
4u, 71:10
4u, 71:20
4u, 71:30
4u, 71:40
4u, 71:50
4u, 72:0
4u, 72:10
4u, 72:20
4u, 72:30
4u, 72:40
5u, 0:0
5u, 0:10
5u, 2:20
5u, 2:50
5u, 4:10
5u, 5:30
5u, 5:50
5u, 7:20
5u, 7:30
5u, 12:50
5u, 14:50
5u, 18:40
5u, 20:20
5u, 20:30
5u, 20:40
5u, 21:40
5u, 23:20
5u, 23:40
5u, 23:50
5u, 25:30
5u, 25:40
5u, 26:0
5u, 26:10
5u, 29:0
5u, 29:40
5u, 30:40
5u, 30:50
5u, 31:0
5u, 31:30
5u, 31:50
5u, 33:40
