0u, 0:40
0u, 0:50
0u, 1:10
0u, 1:20
0u, 1:30
0u, 1:50
0u, 2:10
0u, 3:0
0u, 3:10
0u, 3:30
0u, 3:40
0u, 3:50
0u, 4:0
0u, 4:20
0u, 4:30
0u, 4:40
0u, 4:50
0u, 5:0
0u, 5:10
0u, 5:20
0u, 5:30
0u, 5:40
0u, 5:50
0u, 6:0
0u, 6:10
0u, 6:30
0u, 6:40
0u, 6:50
0u, 7:0
0u, 7:10
0u, 7:20
0u, 7:30
0u, 7:40
0u, 7:50
0u, 8:0
0u, 8:10
0u, 8:20
0u, 8:30
0u, 8:50
0u, 9:20
0u, 9:30
0u, 9:50
0u, 10:0
0u, 10:10
0u, 10:20
0u, 10:30
0u, 10:50
0u, 11:0
0u, 11:10
0u, 11:20
0u, 11:30
0u, 12:40
0u, 13:50
0u, 16:0
0u, 17:0
0u, 17:10
0u, 18:0
0u, 18:20
0u, 18:30
0u, 18:50
0u, 19:20
0u, 20:0
0u, 20:30
0u, 21:50
0u, 22:0
0u, 22:40
0u, 24:0
0u, 24:10
0u, 24:30
0u, 24:40
0u, 24:50
0u, 25:0
0u, 25:10
0u, 25:20
0u, 25:30
0u, 25:40
0u, 25:50
0u, 26:0
0u, 26:10
0u, 26:20
0u, 26:30
0u, 26:40
0u, 27:0
0u, 27:30
0u, 27:40
0u, 27:50
0u, 28:0
0u, 28:10
0u, 28:20
0u, 28:30
0u, 28:50
0u, 29:0
0u, 29:10
0u, 29:20
0u, 29:30
0u, 29:40
0u, 30:10
0u, 30:20
0u, 30:30
0u, 30:40
0u, 30:50
0u, 31:0
0u, 31:10
0u, 31:20
0u, 31:30
0u, 31:40
0u, 31:50
0u, 32:0
0u, 32:10
0u, 32:20
0u, 32:30
0u, 32:40
0u, 32:50
0u, 33:0
0u, 33:10
0u, 33:20
0u, 33:40
0u, 34:0
0u, 34:20
0u, 34:40
0u, 35:0
0u, 35:10
0u, 35:40
0u, 36:0
0u, 36:40
0u, 36:50
0u, 37:0
0u, 37:10
0u, 37:30
0u, 37:40
0u, 37:50
0u, 38:10
0u, 38:40
0u, 38:50
0u, 39:0
0u, 39:10
0u, 39:20
0u, 39:30
0u, 39:50
0u, 40:0
0u, 40:10
0u, 40:20
0u, 40:30
0u, 40:50
0u, 41:0
0u, 41:10
0u, 41:20
0u, 41:30
0u, 41:40
0u, 41:50
0u, 42:0
0u, 42:10
0u, 42:20
0u, 42:40
0u, 43:10
0u, 43:40
0u, 43:50
0u, 44:20
0u, 45:30
0u, 45:40
0u, 45:50
0u, 46:40
0u, 47:10
0u, 47:30
0u, 47:40
0u, 48:0
0u, 48:10
0u, 48:20
0u, 48:30
0u, 48:40
0u, 48:50
0u, 49:0
1u, 0:0
1u, 0:20
1u, 0:30
1u, 0:40
1u, 0:50
1u, 1:0
1u, 1:10
1u, 1:20
1u, 1:30
1u, 1:40
1u, 1:50
1u, 2:0
1u, 2:10
1u, 2:20
1u, 2:30
1u, 2:40
1u, 2:50
1u, 3:0
1u, 3:10
1u, 3:20
1u, 3:30
1u, 3:40
1u, 3:50
1u, 4:0
1u, 4:10
1u, 4:40
1u, 5:0
1u, 5:10
1u, 5:20
1u, 5:30
1u, 5:40
1u, 5:50
1u, 6:10
1u, 6:20
1u, 6:40
1u, 6:50
1u, 7:0
1u, 7:10
1u, 7:30
1u, 7:40
1u, 7:50
1u, 8:0
1u, 8:30
1u, 8:40
1u, 8:50
1u, 9:0
1u, 9:10
1u, 9:20
1u, 9:30
1u, 9:40
1u, 9:50
1u, 10:0
1u, 10:10
1u, 10:20
1u, 10:30
1u, 10:40
1u, 10:50
1u, 11:0
1u, 11:10
1u, 11:20
1u, 11:40
1u, 12:0
1u, 12:10
1u, 12:20
1u, 12:30
1u, 12:40
1u, 12:50
1u, 13:0
1u, 13:20
1u, 13:30
1u, 13:40
1u, 13:50
1u, 14:0
1u, 14:10
1u, 14:20
1u, 14:30
1u, 14:40
1u, 14:50
1u, 15:0
1u, 15:10
1u, 15:20
1u, 15:30
1u, 16:10
1u, 16:20
1u, 16:30
1u, 16:40
1u, 16:50
1u, 17:0
1u, 17:10
1u, 17:20
1u, 17:30
1u, 17:40
1u, 17:50
1u, 18:0
1u, 18:10
1u, 18:30
1u, 18:40
1u, 18:50
1u, 19:0
1u, 19:10
1u, 19:20
1u, 19:30
1u, 19:40
1u, 19:50
1u, 20:0
1u, 20:30
1u, 20:50
1u, 21:0
1u, 21:10
1u, 21:20
1u, 21:30
1u, 21:40
1u, 21:50
1u, 22:0
1u, 22:10
1u, 22:20
1u, 22:40
1u, 22:50
1u, 23:0
1u, 23:10
1u, 23:40
1u, 23:50
1u, 24:20
1u, 24:30
1u, 24:40
1u, 24:50
1u, 25:0
1u, 25:10
1u, 25:20
1u, 25:30
1u, 25:40
1u, 25:50
1u, 26:0
1u, 26:10
1u, 26:20
1u, 26:30
1u, 26:40
1u, 27:0
1u, 27:10
1u, 27:20
1u, 27:30
1u, 27:40
1u, 27:50
1u, 28:10
1u, 28:20
1u, 28:30
1u, 29:0
1u, 29:10
1u, 29:30
1u, 29:40
1u, 30:20
1u, 30:30
1u, 32:0
1u, 32:10
1u, 32:20
1u, 32:30
1u, 32:40
1u, 32:50
1u, 33:0
1u, 33:10
1u, 33:20
1u, 33:40
1u, 33:50
1u, 34:0
1u, 34:10
1u, 34:20
1u, 34:30
1u, 34:40
1u, 34:50
1u, 35:20
1u, 38:0
1u, 38:10
1u, 38:20
1u, 38:40
1u, 39:10
1u, 39:30
1u, 39:40
1u, 40:0
1u, 40:10
1u, 40:20
1u, 40:30
1u, 40:40
1u, 40:50
1u, 41:10
1u, 41:20
1u, 42:0
1u, 44:0
1u, 44:10
1u, 45:10
1u, 45:20
1u, 45:40
1u, 46:0
1u, 46:10
1u, 46:20
1u, 46:50
1u, 47:0
1u, 47:20
1u, 47:40
1u, 48:20
1u, 48:30
1u, 48:50
1u, 49:0
1u, 49:10
1u, 49:20
1u, 49:30
1u, 49:40
1u, 49:50
1u, 50:0
1u, 50:10
1u, 50:20
1u, 50:30
1u, 50:40
1u, 50:50
1u, 51:0
1u, 51:10
1u, 51:20
1u, 51:30
1u, 52:0
1u, 52:30
1u, 52:40
1u, 52:50
1u, 53:10
1u, 53:20
1u, 53:40
1u, 54:0
1u, 54:10
1u, 54:20
1u, 54:30
1u, 54:40
1u, 54:50
1u, 55:0
1u, 55:10
1u, 55:30
1u, 56:0
1u, 56:50
1u, 57:30
1u, 57:50
1u, 58:0
1u, 58:20
1u, 58:30
1u, 58:40
1u, 58:50
1u, 59:0
1u, 59:10
1u, 59:20
1u, 59:30
1u, 59:40
1u, 59:50
1u, 60:0
1u, 60:10
1u, 60:20
1u, 60:30
1u, 60:50
1u, 61:0
1u, 61:30
1u, 61:50
1u, 62:0
1u, 62:20
2u, 1:30
2u, 4:40
2u, 5:0
2u, 5:50
2u, 6:30
2u, 7:0
2u, 7:30
2u, 7:50
2u, 8:10
2u, 8:50
2u, 9:10
2u, 10:40
2u, 10:50
2u, 11:0
2u, 11:10
2u, 11:20
2u, 12:0
2u, 12:20
2u, 15:0
2u, 15:20
2u, 15:30
2u, 17:30
2u, 19:50
2u, 20:30
2u, 21:10
2u, 21:20
2u, 21:40
2u, 22:20
2u, 22:30
2u, 22:40
2u, 22:50
2u, 23:40
2u, 27:30
2u, 28:30
2u, 28:40
2u, 28:50
2u, 29:10
2u, 29:20
2u, 29:30
2u, 29:40
2u, 29:50
2u, 30:0
2u, 30:10
2u, 30:20
2u, 30:30
2u, 30:40
2u, 30:50
2u, 31:0
2u, 31:10
2u, 31:20
2u, 31:30
2u, 31:50
2u, 32:0
2u, 32:20
2u, 32:30
2u, 32:50
2u, 33:0
2u, 33:10
2u, 33:20
2u, 33:30
2u, 33:40
2u, 33:50
2u, 34:0
2u, 34:10
2u, 34:20
2u, 34:30
3u, 0:20
3u, 0:30
3u, 0:50
3u, 1:0
3u, 1:20
3u, 2:10
3u, 2:40
3u, 3:0
3u, 3:30
3u, 4:0
3u, 4:10
3u, 5:30
3u, 6:30
3u, 7:30
3u, 7:50
3u, 8:40
3u, 9:20
3u, 10:40
3u, 11:50
3u, 12:30
3u, 12:50
3u, 13:20
3u, 14:0
3u, 14:30
3u, 14:50
3u, 15:30
3u, 15:50
3u, 16:20
3u, 16:30
3u, 16:40
3u, 16:50
3u, 17:0
3u, 17:10
3u, 17:50
3u, 18:0
3u, 18:10
3u, 18:20
3u, 18:30
3u, 18:40
3u, 18:50
3u, 19:40
3u, 20:10
3u, 20:30
3u, 20:40
3u, 20:50
3u, 21:20
3u, 21:30
3u, 21:40
3u, 21:50
3u, 22:0
3u, 22:50
3u, 23:10
3u, 23:20
3u, 23:30
3u, 23:40
3u, 24:0
3u, 24:40
3u, 25:10
3u, 25:20
3u, 25:40
3u, 26:0
3u, 26:10
3u, 26:30
3u, 27:20
3u, 27:40
3u, 27:50
3u, 28:10
3u, 28:30
3u, 28:40
3u, 29:0
3u, 29:10
3u, 29:20
3u, 29:40
3u, 29:50
3u, 30:0
3u, 30:20
3u, 30:40
3u, 31:0
3u, 31:10
3u, 32:0
3u, 32:30
3u, 32:40
3u, 32:50
3u, 33:0
3u, 33:10
3u, 33:20
3u, 33:40
3u, 34:10
3u, 34:20
4u, 0:20
4u, 0:30
4u, 0:40
4u, 0:50
4u, 1:0
4u, 1:10
4u, 1:20
4u, 1:30
4u, 1:40
4u, 1:50
4u, 2:0
4u, 2:10
4u, 2:20
4u, 2:30
4u, 2:40
4u, 2:50
4u, 3:0
4u, 3:10
4u, 3:20
4u, 3:30
4u, 3:40
4u, 3:50
4u, 4:0
4u, 4:10
4u, 4:20
4u, 4:30
4u, 4:40
4u, 4:50
4u, 5:0
4u, 5:10
4u, 5:20
4u, 5:30
4u, 5:40
4u, 5:50
4u, 6:0
4u, 6:10
4u, 6:20
4u, 6:30
4u, 6:40
4u, 6:50
4u, 7:0
4u, 7:10
4u, 7:20
4u, 7:30
4u, 7:40
4u, 7:50
4u, 8:0
4u, 8:10
